idx,class,conversation
202,일반 대화,"난 나중에 꼭 고양이 강아지를 키우고 싶어, 넌 어때?\n 나는 털 알레르기가 있어서 동물은 못 키울 것 같아.\n 그치만 보는 건 귀여워 ㅠ\n 아! 근데 물고기는 키워보고 싶더라\n 맞아 내가 보는 유튜브 채널 중에 해수인tv라는 채널이 있는데 거기에 나오는 물고기들이 다들 너무 신기하고 예쁘더라\n 어! 나도 그 채널 보고 관심 생겼어 키키\n 물고기들도 나름 성격도 다 다른게 신기하고 귀여워\n 맞아, 손을 타는 물고기도 있고 강아지만큼 똑똑해서 물총 같은 개인기도 하더라고.\n 너무 신기했어.\n 아무래도 물고기는 털은 없으니까 내가 키워도 될 것 같아.\n 맞아 키우게 되면 꼭 놀러가게 해줘.\n 난 강아지 고양이를 키우게 되면 정말 사랑해주고 싶어.\n 사랑할 수밖에 없는 생명체들이지 정말...\n 내가 하는 SNS에 유기묘 유기견, 어미가 낳은 새끼들 임시보호나 입양 글이 많은데 자꾸 눈길이 가.\n 한 해 새로 키워지는 강아지가 20만 마리인데 명절에 버려지는 강아지도 18만 마리인가 그렇대.\n 너무해 ㅜ"
203,일반 대화,우리 여행가서 풀빌라 빌려서 놀까?\n 나 한번도 풀빌라 가본적 없는데\n 나도 ㅋ그래서 얘기한거야\n 근데 호텔이 더 편하지 않겠어?\n 호텔은 뭐 그래도 몇번 가봤으니까\n 혹시 풀빌라 별로니?\n 아니? 완전 좋은데?\n 그치 키키 우리 계모임 멤버들 백신 2차까지 다 끝내면 풀빌라 빌려서 놀자\n 너무 좋지! 애들 다 좋아할거 같은데?\n 예쁜데 정말 많더라고\n 맞아 나도 그런데 사진보면서 가고싶다고 생각했어\n 가서 사진도 많이 찍자!\n dslr챙겨가야겠다
204,일반 대화,"우리 집 정도면 살기는 불편하진 않죠?\n 아니야 4명이면 35평은 넘어야지 이게 집이거 좁아서 안되지\n 그런가? 나는 익숙해서 사실 충분한거 같기는 한데\n 아냐 너도 집 구할 때 너무 좁은데로 구하지는 말고, 좀 넉넉히 넓은데로 찾아봐 너무 좁으면 그거 살게 못된다\n 아니 뭐 넓은데야 나도 너무 들어가고 싶지만 돈이죠 뭐 이휴\n 나중에 우리도 이사하면 40평대되니까 집에 이것저것 넣고 꾸며도 될건데 지금은 어려워\n 좋아좋아 지금이야 복작복작하게 하다가 이제 서울 한복판에서 좀 만 멀어져도 넓고 편하게 사는게 좋지\n 응응 딸은 집은 아파트로 알아보니 아니면 오피스텔?\n 움 일단 아파트가 좋기는 한데, 빌트인으로 들어가려면 오피스텔이 나을거 같기도 해요\n 그래 엄마도 가능하면 아파트가 좋을 거 같아, 빌라는 들어가지 말고\n 엥 빌라는 왜요?\n 아무래도 단지가 좀 있고 한게 좋고, 안전한 거랑 이런거 치면 아무래도 아파트가 좋아\n 좀 더 알아볼게요"
205,일반 대화,아파트 자가로 매매하면 뭐가 좋아?\n 음... 전세살이 안하고 이사를 안 다녀도 된다는 게 편하지\n 그렇죠. 많이 달라요?\n 아무래도 빚으로 사긴 하지만 내 집 걱정을 안 하니 마음이 편해\n 그렇군요. 전 아직 전제라서 자가가 있으면 좋겠어요.\n 내년 정권에 부동산 어떻게 변할지 모르니 신경이 많이 쓰이죠.\n 정말 그래요.\n 저도 그래서 신경을 많이 쓰는 편이에요.\n 고민하다가 시간 지나고 보니 집 값 은 더 올라있네요\n 저도 그래서 많이 고민하고 있어요.\n 맞아요. 매매는 잘 생각해보셔요.
206,일반 대화,나 오늘 눈썹 문신함 하하\n 오 드디어 하셨음?\n 대박\n 사진 좀\n 완젼 용기 있지? 나? 키키\n 할 때 아프더나?\n 사진 나중에 보여주겠음 하하\n 키키 얼마 주고 했음?\n 아니\n 하나도 안 아프던데 하하\n 잘하는 데 있더나\n 키키 용감하당\n 응 개양에 잘하는 데 있어 하하\n 난 아파서 못할 듯\n 무서움\n 행님도 저기 가서 해볼래?\n 소개시켜 드림\n 싸게 주고 한 거 같다 키키
207,일반 대화,오빠는 게임도 야구 게임 했음...\n 맞아 난 야구 게임 했어\n 아 진짜 게임은 재밌나 키키\n 야구 보면서 야구 게임 하기\n 근데 요새 그것도 잘 안함 하하\n 그냥 보는게 재밌는 거 아냐 키키\n 게임 완전 재미 없지\n *** 10카 만들었는데 ㅠㅠ 사고침\n 근데 야구를 하러 가진 않지 키키?\n 마자 보는 게 재밌지\n 요새 안 나와 아주 짜증 하하\n 키키 보는 걸 좋아하는구나 키키\n 야구 게임는 난 노잼이더라\n 꽤 재밌는데 헐헐\n 난 그전에 차 막혀서 나오는데 마지막에 키키\n 실제 야구는 안가심 키키\n 담에 도전해보렴 하하 다시\n 키키 그니까 다 야구를 직접하던데
208,일반 대화,아직도 군대하면 초코파이 인 걸까?\n 군대에선 초코파이가 그렇게 귀하고 맛있데\n 우리 신랑은 훈련 마치고 나니까 초코파이 두개줘서 하나는 바로 먹고 하나는 숨겼다가 화장실에서 먹었데\n 정말 그런 일이 있구나\n 그렇게 귀하나 어떻게 화장실에서 먹지\n 화장실에서 먹은 초코파이가 그렇게 맛있었다고 하드라고 아직도 생각난데\n 당이 떨어져서 그런게 아닐까?\n 신기하긴 하다 정말\n 지금은 예전만큼 군대에서 먹는게 귀하지 않아서 그런추억은 없을꺼 같아\n 그렇겠지. 요즘은 잘 되어 있어서 그런 건 없을 듯\n 맞아 부대에서 치킨배달도 시켜 먹던데 뭘\n 우와 배달도 시켜먹는단 말아?\n 진짜 좋아졌구나
209,일반 대화,아 결혼식 때 재밌었는뎅\n 맞아 재밌었지 하하\n 나 근데 두번은 안하고 싶은데\n 난 아직도 결혼식 생각하면 눈물나잖니 키키\n 나도 눈물이나 하하\n 힘들다 키키 결혼식 하고 나면\n 왱 핵이 니 축가 부른 거 갬동...\n 사실 감정이 없어 난\n 동영상 보면 슬프지 않냐\n 니 노래 진짜 잘하더라\n 동영상이 없지 않니 우리 하하\n 진짜 떨려서 키키ㅇ\n 마자\n 그래서  잘 안 봐\n 넘 슬퍼\n 핵이 잘생기고 노래 잘하고 완젼 하하\n 아무 생각도 안남 ㅜㅜ  춤도\n 얌 친구들이 찍어준 거 있어 키키\n 멋진 아이구나 너 정말 하하\n 키키 **가 하자 해서 한 거지\n **가 근데 넘 얌전했다 그런 애가 아닌데\n 난 핵이처럼 생겨씀 연예인 했을 거야\n 키키 너무 슬퍼서 그랬다던데 눈물 참느라고\n 키키 나도 연예인 했을 거야 키키\n 뭔가 그 눈이 넘 예뻤어\n 그 정도는 아니자나 ?\n 잘못 봤나보다\n 다른 사람인가
210,일반 대화,니는 요즘 학원같은거 다니는 곳 있나?\n 아니요 일 하고 오면 너무 힘들어서 잠만 잡니다\n 키키 그렇제? 키키 뭐 배워보고 싶고 그런 것도 없나? 키키\n 배우고 싶은건 있는데 힘드네요\n 요즘 학원 종류도 엄청 다양해져서 뭐 많더만 키키\n 누나는 뭐 배우고 싶은거 있나요\n 주말 같은 때도 가기 힘들제? 키키\n 여친도 만나야하고 하니 아직은\n 나는 기타 배우고 싶다! 키키\n 오 기타 좋죠 어쩌다가 근데?\n 기타 사 놓긴 했는데 키키 칠 줄을 모름 키키\n 오 배우지 않고 먼저 사다니\n 예전에 막 악기 하나쯤 다루면 좋겠다 싶어서 키키\n 누나는 스케일이 남다르시네요\n 피아노를 살 순 없잖아 키키\n 피아노보단 기타가 낫죠 저도 이 참에 기타를 배워봐야겠습니다.
211,일반 대화,잔인해 왜 그래 도대체\n 스카이 다이빙 하고싶어 *아\n 아 나도 번지점프 하고 싶어\n 너랑 같이 했으면 좋겠어 *아\n 나도 하고 싶어 데려 가줘\n 진짜 하늘 위에서 뛰어내리는 거야\n 난 진짜 하고 싶어 그런 거\n 한번 하는데 30 촬영까지 40정도 잡으면 된다더라\n 와 너무 비싼데... 자기가 돈 다 내\n 오 이런 식으로 뜯어먹기 괜찮은데?\n 긋치 ㅎ ㅎ ㅎ\n 너한테 배운 거야 좋아?\n 아니야\n 난 그런 걸 가르쳐 준 적이 없는 걸...\n 아니야\n 이런 나쁜 건 다 너한테 배웠어\n 나한텐 이쁜것만 배우도록 해\n 그치\n 내가 이쁘게 생긴 건 맞는뎅\n 그 이쁜 얼굴 스카이다이빙하면 다 망가져\n 그래도 괜찮으니까 돈만 너가 내\n 나중에 주식 대박 나면 캠핑도 가고 하고 싶은 거 다해\n 언제 되는 건데 그거...\n 어떻게 하는 건데 그거!\n 나 운동 시켜 달라고!\n 운동은 무슨 요즘 밖에도 잘 안 나갈려
212,일반 대화,나 풋살장 운동하러 왔어!\n 오 나도 풋살 좋아 하는데 키키\n 아 진짜 풋살장 재미있지 키키\n 여기 사람들 진짜 많네\n 어 그거 인기 많아 키키\n 풋살 족구 난 다 좋아해 키키\n 처음 하는 거라 다 재밌다 키키\n 거기 잘 하는 사람 있어?\n 진짜 사람 많지 운동하는 사람\n 나중에 족구도 해보고 싶다!\n 어 족구 하고 싶으면 우리랑 같이 하자 키키\n 나는 피구 좋아하는데 키키 같이하자\n 등산하면서 체력이 물이 올랐나 봐\n 맞아 등산하면 체력 좋아진다고 그러더라 키키\n 통키가 먼지 보여줄게 피구 하자\n 역시 엄마랑 등산이 힘이 컸어\n 맞아 엄마랑 등산 하면서 효도 하고 건강 챙겨 키키\n 등산 하는 것도 좋긴 하지\n 키키 힘들어 근데
213,일반 대화,게임에서 즐거운건 뭐였어요?\n 게임 커플이 진짜 커플 되는거요\n 와 그런 커플이 많았어요?\n 네 생각보다 많았어요\n 의외네요\n 사랑 상담도 해주고 잘 되라고 응원도 해주고\n 결혼 하신 분 있어요?\n 저는 5커플 정도 봤어요\n 온라인에서 오프까지 멋있군요\n 헤어지는 커플도 많았구요
214,일반 대화,"요즘 아프카니스탄이 잠잠하네.\n 가진게 많아서 불행한 나라지.\n 가진게 많아? 못사는 나라잖아.\n 아직 개발 안 된 매장된 자원들이 엄청나대.\n 그거 때문에 서로 가지려고 싸우는 거야?\n 그렇지, 강대국들이 들어가서 점령해서 채굴하려고 하는데 쉽지 않은가봐.\n 결국은 새로운 식민지 시대네.\n 중세때 유럽이 식민지로 많은 부를 축척했으니까.\n 자기네 나라에 있는걸로 개발해서 살면 되잖아.\n 유럽이 생각보다 척박하데, 그래서 다른 나라에서 자원을 뺏어와야 했다고 하더라고."
215,일반 대화,인타임 같은 세상이 오면 어떨 것 같아?\n 음 키키 무섭고 재밌을 듯?\n 맞아! 시간이 없으면 죽는거잖아 ㅠㅠ\n 근데 또 그 시간을 늘릴 수가 있으니까\n 그래서 오래살 수 있을 것이다?\n 젊은 나이로 오래 살 수 있을 것 같아서\n 오호 하하 그래도 난 무서운 것 같아\n 그만큼 시간이 중요하다는 걸 보여준 영화같아\n 응 키키 뭔가 나름 교훈이 있었지\n 배우들 연기도 한 몫 했지
216,일반 대화,그럼 언니는 결혼하면 아이 낳으면 무조건 둘 이상?\n 음... 키키 아니\n 안 나을 생각이었는데 키키\n 아 키키 저도 동감이에요 키키\n 육아 힘드니까^^\n 육아 하는 친구들 보니까 너무 힘들어 보여서 키키\n 키키 맞아요 키키\n 제 친구도 둘째는 낳을 생각 없다 하더라구요 키키\n 근데 만약 나을 거면 남녀 이렇게 나으면 좋을 거 같아 키키\n 쌍둥이로 한방에\n 오 키키 많이 힘들지만 그래도 한번만 낳으면 되니까 키키\n 키키 맞아... 키키\n 걍 뭐든 한번에 끝내고 싶다\n 그게 또 나을 수도 있을 거 같아요 키키\n 남편이 많이 도와줘야 하는데 그러려나\n 연년생은 두 번 임신해야 해서 더 힘들고 키키\n 키키 어휴... 키키 절대 안 돼\n 꿈도 꾸면 안돼 그건 키키\n 키키 교육 시켜야죠 키키\n 독박 육아는 안돼요 키키\n 키키 남자도 육아휴직 자유롭게 써야 해\n 맞아요 키키\n 아직 우리 사회가 너무 꽉 막혀있어서 ㅠㅠ\n 맞아 ㅜㅜ\n 눈치 보고 일도 못하고 육아도 못하고
217,일반 대화,이번주 내내 비가 온다고 하더라고\n 4일 내내 온다고 기사봤어\n 쉬는날인데 비가 오다니 슬프다\n 어디 나가려고 했어?\n 그런건 아닌데 흐리니깐 기분이 쳐져\n 흐린날씨때 나만 그런게 아니였구나\n 너도 기분이 좀 쳐지는 편이야\n 뭔가 날씨가 꿀꿀하면 나도 축 쳐지더라고\n 비오는 날씨 안좋아하는구나?\n 안좋아하는건 아닌데 좀 힘이 안나는거 같아\n 무슨말인지 바로 알겠다\n 얼른 맑아졌으면 좋겠어
218,일반 대화,지금 다니는 곳은 사람들 다 좋으셔?\n 응 사람들은 진짜 좋으시지~\n 친해진 직원들은 있니?\n 오 그러게 또래 직원 있으?\n 친해진 것 까진 아니고~\n 내 또래들은 다 순천에서 출퇴근 하더라\n 출퇴근 하면 진짜 피곤하겠다\n 대화 할 시간이 적어?\n 바빠서?\n 그치\n 6시 30분에 집에서 나온대\n 대화할 시간 적지\n 글쿠만\n 대화하면서 일 하면 덜 힘들고 시간도 잘 갈텐데\n 키키 전에 야간 할 때 옆 사람 자러 가면 이야기 할 사람 없어서 힘들었어\n 키키 같이 자러는 못 가니깐...\n ㅇㅈ 나 그때 데이터 무제한도 아니어서 유튜브도 못 봤는게 ㄹㅇ 시간 안 감\n 난 진짜 그 때 내가 잠이 없는 편이 아니라 입을 못 털면 잠 온다는 걸 알았지\n 키키 나는 몰래 몇 번 잔 거 같아\n 나도 턱 괴고 졸았던 기억은 남\n 키키 안 걸렸어?\n 난 한 번 걸림\n 나는 걸렸었나\n 기억이 안나\n 난 걸린 적은 없는 것 같은데 키키\n 하여튼 그때 재밌었는데
219,일반 대화,나이키 멤버스 데이 놓치지 마래이\n 어 키키 안 그래도 내 레깅스 하나 샀다\n 그거 잘 안 온다 하하\n 아 자주 하는 거 아닌갑네\n 레깅스 나이키 꺼가 젤 낫드라\n 행님 말 듣고 들어가서 샀는데 키키\n 쫀쫀하이 잘 잡아준다\n 3만 5천 원밖에 안 하대...\n 요가 할 때 좋을 끼야\n 본전 뽑아야지 키키\n 이제 올겨울 그거만 입고 다닌다\n 바지랑 같이 샀나?\n 아니 키키\n 그거 바지 안 입어도 되겠던데
220,일반 대화,맞아 키키 너 차차차 봤어?\n 응 뻔하고 올드하긴한데 그래도 볼거없을때 볼만은 해 키키\n 엄청 재밌진 않구만...\n 김선호는 확실히 정장보단 후줄근한데 잘 어울려\n 키키 마자 좀 너드미라고 해야하나? 키키\n 맞아 엄청 재밌진않아 키키 그냥 1박2일보고 차차차보고 대탈출보고 이렇게 키키\n 딱 일요일 코스네 키키\n 아니 근데 겉모습은 후줄근한데 성격은 좀 별로던데?\n 스타트업때도 그렇고 동네 할머니들한테는 서글서글하긴한데\n 아 그래? 난 고분고분게 좋은데...\n 진짜 할머니랑 잘 어울리는 친구야\n 키키 마자 딱 손자 느낌 키키 잘어울려\n 나도 키키 그게 옛날 영화 홍반장 리메이크한거라는데\n 그니까 리메이크 했다며?\n 그래서그런가 올드한게 있어\n 아...그래서 올드하구만...\n 그럼 홍반장이 김선호야?\n 응맞아!
221,일반 대화,어제 저녁에 뭐 먹었어?\n 난 어제 회 먹었어! 팀이랑 식사 키키\n 넌? 뭐 먹었어?\n 어제 회식했어?\n 오 회 맛있겠다 무슨회 먹었어?\n 응! 민어회 먹었어\n 나는 어제 남아있던 로제떡볶이 먹었엌 키키\n 너 민어회 먹어봤오?\n 키키 로제떡볶이 맛있었겠다\n 와 민어회? 대박 민어회 엄청 맛있다던데?\n 어 맞아 나도 처음 먹어봤은데 비린내 하나도 안나고 담백하더라ㅜ\n 혹시 민어 부레도 먹어봤어?\n 민어회 비싸지 않아?\n 좀 가격대가 있던 거 같어 키키\n 근데 민어 자체가 커서 그렇게 부담스럽지 않았던?\n 아니 나는 민어 자체를 못먹어봤엌 키키\n 그리고 너 그거 알아? 초장에 와사비 섞어 먹는거!\n 회사 회식비로 산거야?\n 그럼 **아 기본아니겠어?\n 응 키키 내돈은 아니었다\n 헐 나 몰랐어\n 근데 너 나랑 회 먹을 때 그렇게 먹은 적 없지 않아?\n 그래? 아 마자 섞어먹진 않았지\n 그냥 따로 회에 올려먹긴했어도\n 근데 섞어 먹어도 맛있긴하지!\n 그치? 난 처음이었다구~ 왜 안 알려줬어\n 난 그때 따로 회에 올려먹는게 좋았어서 키키 그랬지ㅋ
222,일반 대화,투명카누 타 봤어?\n 아니 난 안 타봤어.\n 나도 안 타 봤어.\n 제주도에서 많이 타던데.\n 나도 제주도에서 타려고.\n 이번에 제주도 가?\n 응 제주도 가서 타려고.\n 가격은 얼마나 해?\n 지금 알아보는 중이야.\n 나도 정보 공유해 줘.
223,일반 대화,이사가면 뭘 젤 먼저 사야할까?\n 청소도구가 가장 먼저 필요하지 않을까?\n 청소기도 필요할까? 아니면 빗자루?\n 만일 집이 작다면 빗자루도 괜찮고 집안에 머무는 시간이 부족하니 청소기가 낫겠지?\n 나는 물과 불이 젤 중요해. 생수도 사고 가스렌지도 점검하고.\n 살 것이 참많아서 리스트를 작성해야겠네.\n 응. 하나도 없다보니 필요한 것부터 지혜롭게 쇼핑해야겠다싶어.\n 응. 너라면 충분히 합리적인 쇼핑을 할거 같아.\n 날마다 택배가 오겠고 나는 위메프 vip가 되것지 껄껄\n 주변 이웃들 놀라겠다.\n 모든 택배기사들 한번에 집합해볼까나?\n 머지않아 물류창고 되겠네.\n 왠지 시골이니까 음료수도 하나씩 드려야 할것같은 느낌?\n 당연하지. 먼저 대접해 드려야지.
224,일반 대화,요새 낮에는 덥고 밤에는 춥더라!\n 그러게 환절기라서 그런가봐\n 그치 가을 오고 있는건가봐\n 흠 그런가 ? 이번년에도 가을이 늦게 오는 것 같아\n 맞어 작년에도 그랬던거 같아. 점점 가을이 늦게 오는거 같애\n 그치 ! 지구 온난화때문에 여름이 길어져서 그런가봐\n 큰일이네!! 가을 짧아지면 안되는데...\n 왜 ?\n 난 가을이 제일 좋거든...\n 오 나도 !\n 넌 가을이 왜 좋아?\n 가을에는 예쁜 옷들이 많이 나와서 좋아\n 그럼 가을 옷 사러 갈래?\n 좋아 !
225,일반 대화,엄마 좀 전에 전화 왔어.핸폰 잊어버렸다고\n 어디다 잃어버리신 거야 요즘 잘 가지고 다니시더니\n 헐... 안 돼 ㅠㅠ 어쩌다가 잃어버리셨대요?\n 주머니에 넣고 밭에 갔다가 빠뜨리셨나 봐\n 밭에서  일하시다가 잃어버렸을 것 같더라\n 그럼 휴대폰으로 전화하셔도 안 받으시겠네용... 할머니 속상하시겠다\n 다행히 동네 오빠가 밭에 가서 전화 해보고 찾았대 그나마 다행이지\n 아이고 다행이다 못 찾았으면 엄마 얼마나 속상하셨을까\n 헐 찾았어어요? 넘 다행이다\n 그러니까...  혼자 계시니 연세도 있으시고 항상 걱정\n 이제는 밭에 갈 때 핸드폰 안 가지고 다니시는 거 아냐 또 잃어버리실까 봐\n 가족들이 가까이 있으면 좋을 텐데... 속상하네요\n 할머니가 제일 부러워 하는 게 그거잖아 주변 가까운 곳에 자식들 있는 거\n 나도 자식들이 멀리 있다고 생각하면 너무 슬퍼\n 이따가 할머니께 전화 드려봐야겠다\n 그럴 것 같아 그것도 혼자서 계시니\n 우리 자식들은 모두 멀리 있어서 우리 엄마가 더 외로우실 것 같아\n 생각날 때 전화 드린 것 밖에 없는데... 안 그래도 그 말 듣고 저도 울었어요... ㅠㅠ\n 전화도 자주 안 하는 스타일들이잖아 자식들이 다\n 나도 **이가 나한테 하는 거 보고 반성 많이 하고 있어 키키\n 앞으로 더 더 많이 전화 드려야겠다\n 나도 언니 보면 그런 게 부럽더라\n 나도 우리 엄마한테 더 잘해야 되겠다\n 돈 많이 벌어서 가족들한테 잘해야지
226,일반 대화,007말고 딱히 보고싶은게 없다\n 스파이더맨 개봉할껄?\n 샵검색 : #스파이더맨노웨이홈\n 언제\n 샵검색 : #베놈\n 오호 그러네 곧 개봉하네\n 기대중\n 재밌으려나 마블영화 이제 흥미가 안생겨\n 스파이더맨은 보쟝\n 나도 약간 그런거 있어 늙었는지\n 007보면 자기랑 두번재 영화관람이다 키키\n 그러게 말입니다\n 영화관 진짜 안갔네 키키\n 응 세상에
227,일반 대화,키키 오빠 김포왓을떄 데려다주는데 앞에 GS에서 헤어지자 하니까 집 어딘데 하길래 안전이별해야해서 안알려준댓거든\n 키키 충격먹엇나바\n 개우꼌 키키\n 키키 개웃곀 키키\n 안전이라는 단어가 너무 충격이래\n 이별이라고도 안함  키키\n 볼트모트야?\n 그런듯 쯨\n 가오떨어지네\n 게\n 키키 아무리 친해도 또 연애하면 다르지?\n 다르지 다르지 키키\n 저 사람이 왤케 날 좋아하지 하는 의구심도 들고\n 어어\n 키키 저새키 뭔 꿍꿍ㅇ이지\n 아 생각 안했던 부분을 생각하는구나?\n 몰랐던 부분도 막 나와?\n 안좋은게 아니고 ㅇ ㅣ 사람이 이랬었나?\n 이렇게 누굴 배려하는 사람이였나? 키키\n 넘 스레기로 봣나 ^^\n 아 낯선부분이 나오는건가요\n 웅 키키 절대 만약 헤어지면 다신 못보겟다는 생각은 들어 키키\n 키키 친구로는 못 돌아갈듯...\n 절대절대 키키
228,일반 대화,요즘 결혼하기 좋은 계절인 것 같아요\n 가을의 신랑 신부 아름다워요\n 신혼여행 가기에도 좋잖아요\n 나도 신혼여행 다시 가고 싶다\n 요즘 결혼식 한번 더 하시는 분들도 많아요\n 저도 남편에게 얘기해 봐야겠어요\n 결혼식을 한 번 더 하면 훨씬 부부 사이가 좋아진대요\n 아무래도 새로운 기분이 들겠죠?\n 신혼 기분 한 삼년은 가지 않을까요?\n 생각만 해도 재미있네요\n 아 참 은혼식 화면 되겠다\n 맞아요 내년이 결혼 30주년이에요
229,일반 대화,"결혼 적령기가 언제라고 생각하셔요?\n 나는 나이로 따지면 34살이라고 생각해\n 저도 30대 초중반 정도라고 생각해요~!\n 30중반 이상이 넘어 가버리면 자식도 그렇고 힘들 것 같아\n 네 그렇게 되면 자식이 대학 들어갈 때 저희는 50세가 넘네요\n 꼬부랑 할아버지가 되어서 자식들 학교 가면 애들이 싫어 할 것 같아\n 그쵸,\n 하지만 형은 나이 들어도 꽃중년이실 거에요~\n 아냐~\n 그런 말이 있잖아 나이 들면 사랑이 아니라 우정이라고\n 네 저는 삶의 순리라고 생각해요~\n 삶의 순리라, 나는 결혼하면 자식보다 우선순위가 아내야\n 오 좋은 생각이에요\n 형~! 한 수 배웠습니다.\n 감사함다.\n 아니 감사할 필요까진 없어.\n 이건 좋은 생각이 아니라, 당연한 생각 아닐까 키키"
230,일반 대화,어릴 적에 누가 교육에 더 신경을 쓰셨어?\n 우리 엄마가 교육에 신경 쓰셨어.\n 아 어머니가 신경을 많이 써주셨구나.\n 응 엄마가 욕심이 많으셨어.\n 아버지는 관여 안 하셨어?\n 아빠는 일을 나가서 잘 못 봤어.\n 아 항상 바쁘셨구나.\n 출퇴근이 없으셨거든.\n 나도 비슷한 이유로 어머니가 더 많이 봐주셨어.\n 그래도 도움이 된 것 같아.
231,일반 대화,겟엠프드라는 게임 들어봤어?\n 오  그거 어릴 때 많이 했었지\n 그 캐릭터 얼굴이 커서 귀여웠는데\n 맞아  그래서 타격감이 좋았지\n 건물 밑으로 떨어뜨리는거 재밌었는데\n 그런 재미로 했었지\n 친구들하고 자주 했던 것 같아\n 맞아  근데 그거 아직도 있다던데?\n 아 진짜? 꽤 오래 되지 않았나\n 근데 아직 서비스 하나봐\n 신기하네 다음에 해보자 하하\n 오케이 우리집에서 해보는걸로
232,일반 대화,요즘 얼굴이 건조한데 수분크림을 살까?\n 수분크림 있지않니?\n 있는거 다 썼지 뭐\n 그렇구나 일리윤이 저렴템중에 괜찮아\n 수분크림은 어디께 좋나?\n 아 일리윤이 좋구나\n 크리니크도 괜찮아\n 크리니크 분홍이 수분크림?\n 응 분홍이 수분크림이지\n 그렇구나 백화점가서 수분크림 테스트 해봐야겠네!\n 그래 좋은크림 득템하렴
233,일반 대화,넷플릭스 같이 볼 사람~\n 넷플에 재밌는거 많아? 나 한번도 안봤어\n 거기 볼꺼 되게 많아. 영화도 재미난거 많고\n 개봉작들도 많아?\n 응응 바로는 안올라오는데 넷플 전용 영화도 많아\n 오호호~ 그거 같이 공유할수있어?\n 응응 그거 아이디 하나로 같이 쓸수 있어\n 와 좋다~ 그럼 우리 돈 나눠서 내자!\n 응응 그럼 네명 모집할게. 횟수제한 없으니 영화 많이봐\n 본만큼 아니고 그냥 한달에 한번 내는거지?\n 응응 당연하지!
234,일반 대화,요즘 스트리트우먼파이트가 엄청 인기긴 한가봐\n 맞아 인스타도 유튜브도 페북도 다 스트리트우먼파이트 이야기야\n 막 아이돌들이나 유명 배우들이 그 노래 맞춰서 춤추는 거 보니까 인기 실감 나더라\n 아 그 춤 노제님이 만드신 춤! 노래 제목이 뭐더라\n 갑자기 이야기하니까 기억이 안나는데...\n 아 나 기억났어 헤이마마!\n 아 맞앜 키키 나도 그거 집에서 혼자 따라 춘 적 있어\n 어우 상상했어...\n 근데 이렇게 댄서를 위한 프로그램이라니까 새삼 새롭더라\n 맞아 프로그램으로 몰랐던 댄서분들도 알게 되니까 좋은 것 같아\n 너는 어느 댄서분이 제일 좋아?\n 나는 아이키님!\n 성격도 좋아보이시는데 춤 선도 너무 예뻐ㅠㅠ\n 나는 다 좋아서... 한 분만을 고를 수가 없다...
235,일반 대화,"타짜 요즘 재방 하던데 봤어?\n 타짜 요즘 하는거 봤어 키키\n 그거 시리즈 망했는데 역시 근본이 최고야\n 맞아 처음께 제일 재밌고 뒤로는 별로...\n 나는 딴돈의 반만 가져가, 키키\n 키키 아 진짜 욕심을 대체 왜 부리는거야~\n **이 그패 봐봐 키키\n 진짜 명대사 너무 많았지\n 키키 나는 그거 *** 때문에 봤어\n 맞아 그때 진짜 리즈시절이잖아 키키\n 맞아 키키 진짜 *** 연기 잘하고\n 그거는 열번을 봐도 너무 재밌는 것 같아\n 나도 그 정도 봐서 전에는 대사를 다 외웠어 키키\n 맞아 키키 사쿠라여? 할 때 긴장감 대박 키키\n 근데 진짜 왜 나머지 타짜들은 망한걸까...?\n 그니깐 키키 자꾸 액션물로 만들더니 골로 갔어\n 맞아 그냥 시즌1로 끝내야 되는거 같아..."
236,일반 대화,니는 버스 탈 거임?\n 나는 버스 타고 갈려고!\n 형은?\n 난 기차 타고 갈라고 하하\n 기차는 나는 불편해서 싫더라 ㅠㅠ\n 아님 차 끌고 갈까?\n 뭔가 좁더라 키키\n 차 좋지\n 내가 데리러 갈까?\n 차 끌고 오면 온 김에 둘러보자\n 다시 대전 내려오면...\n 데리러 오면 한참이야...\n 한 6시 될 듯?\n 키키 미쳤어\n 그건 안돼
